x,value
-4.00,0.7568024953788914
-3.95,0.7231881241383563
-3.90,0.6877661592216987
-3.85,0.6506251370925047
-3.80,0.6118578901258258
-3.75,0.571561318139604
-3.70,0.5298361404655821
-3.65,0.48678664833160423
-3.60,0.44252044305872124
-3.55,0.39714816711468215
-3.50,0.35078322756594954
-3.45,0.30354151261955375
-3.40,0.2555411019632693
-3.35,0.20690197162816756
-3.30,0.15774569411122566
-3.25,0.10819513450755658
-3.20,0.05837414341178447
-3.15,0.00840724792654627
-3.10,-0.04158066203329054
-3.05,-0.0914646419479754
-3.00,-0.1411200078587114
-2.95,-0.19042264721960978
-2.90,-0.2392493291151608
-2.85,-0.28747801227391834
-2.80,-0.33498815010855504
-2.75,-0.3816609920198802
-2.70,-0.42737988021174256
-2.65,-0.472030541274957
-2.60,-0.5155013718114527
-2.55,-0.5576837178204342
-2.50,-0.5984721443986215
-2.45,-0.6377647023353551
-2.40,-0.675463180686975
-2.35,-0.7114733528819386
-2.30,-0.7457052122372905
-2.25,-0.7780731969278347
-2.20,-0.8084964038456451
-2.15,-0.8368987908153392
-2.10,-0.8632093666596481
-2.05,-0.887362368640194
-2.00,-0.909297426829948
-1.95,-0.9289597147668888
-1.90,-0.9463000875349461
-1.85,-0.9612752028783547
-1.80,-0.9738476308173155
-1.75,-0.9839859468362047
-1.70,-0.9916648104294056
-1.65,-0.9968650284400281
-1.60,-0.9995736030332687
-1.55,-0.9997837641845542
-1.50,-0.9974949866013032
-1.45,-0.9927129910360423
-1.40,-0.9854497299876089
-1.35,-0.9757233578951467
-1.30,-0.9635581854560955
-1.25,-0.9489846193771985
-1.20,-0.9320390859789486
-1.15,-0.9127639402667159
-1.10,-0.8912073600646184
-1.05,-0.8674232255956034
-1.00,-0.8414709848086619
-0.95,-0.8134155047897305
-0.90,-0.7833269096276442
-0.85,-0.7512804051209471
-0.80,-0.7173560908907253
-0.75,-0.6816387600195336
-0.70,-0.6442176872361433
-0.65,-0.6051864057354519
-0.60,-0.5646424733948309
-0.55,-0.5226872289305965
-0.50,-0.4794255386041885
-0.45,-0.4349655341150691
-0.40,-0.38941834230970546
-0.35,-0.3428978074556985
-0.30,-0.29552020666138945
-0.25,-0.24740395925453454
-0.20,-0.19866933079506743
-0.15,-0.1494381324734991
-0.10,-0.09983341664683122
-0.05,-0.049979169270684166
-0.00,-5.842548667089886E-15
0.05,0.049979169270672495
0.10,0.09983341664681959
0.15,0.14943813247348756
0.20,0.19866933079505603
0.25,0.24740395925452324
0.30,0.29552020666137835
0.35,0.34289780745568754
0.40,0.38941834230969474
0.45,0.4349655341150586
0.50,0.47942553860417825
0.55,0.5226872289305865
0.60,0.5646424733948213
0.65,0.6051864057354426
0.70,0.6442176872361344
0.75,0.6816387600195251
0.80,0.7173560908907171
0.85,0.7512804051209394
0.90,0.783326909627637
0.95,0.8134155047897236
1.00,0.8414709848086555
1.05,0.8674232255955976
1.10,0.8912073600646132
1.15,0.9127639402667113
1.20,0.9320390859789444
1.25,0.9489846193771948
1.30,0.9635581854560923
1.35,0.9757233578951442
1.40,0.9854497299876069
1.45,0.9927129910360408
1.50,0.9974949866013022
1.55,0.9997837641845537
1.60,0.999573603033269
1.65,0.9968650284400289
1.70,0.9916648104294069
1.75,0.9839859468362068
1.80,0.9738476308173182
1.85,0.9612752028783578
1.90,0.9463000875349499
1.95,0.9289597147668932
2.00,0.9092974268299528
2.05,0.8873623686401994
2.10,0.863209366659654
2.15,0.8368987908153456
2.20,0.8084964038456518
2.25,0.7780731969278419
2.30,0.7457052122372981
2.35,0.7114733528819468
2.40,0.6754631806869835
2.45,0.637764702335364
2.50,0.5984721443986307
2.55,0.5576837178204435
2.60,0.5155013718114628
2.65,0.4720305412749666
2.70,0.427379880211753
2.75,0.3816609920198907
2.80,0.3349881501085664
2.85,0.2874780122739295
2.90,0.23924932911517208
2.95,0.19042264721962063
3.00,0.14112000785872325
3.05,0.0914646419479873
3.10,0.041580662033302546
3.15,-0.008407247926534758
3.20,-0.05837414341177275
3.25,-0.10819513450754445
3.30,-0.15774569411121378
3.35,-0.2069019716281568
3.40,-0.2555411019632583
3.45,-0.30354151261954326
3.50,-0.3507832275659381
3.55,-0.39714816711467166
3.60,-0.44252044305871113
3.65,-0.4867866483315946
3.70,-0.5298361404655728
3.75,-0.5715613181395954
3.80,-0.6118578901258183
3.85,-0.6506251370924967
3.90,-0.6877661592216908
3.95,-0.723188124138348
4.00,-0.7568024953788833
